uuid,source,orig_id,city,country,continent,lat,lon,datetime_local,sequence_id,sequence_index,split,img_path,glare,lighting_condition,pano_status,platform,quality,reflection,view_direction,weather,rel_path,sha256,size_bytes
baf447b5-cfea-4d73-ad33-bf27c9087c07,Mapillary,956570141776366,Kampala,Uganda,Africa,0.3280001844616436,32.568857073783875,2018-11-15 19:35:17.719000+03:00,0PbMBGLXS9CrQq3wTcqc3A,357,train,img/1/baf447b5-cfea-4d73-ad33-bf27c9087c07.jpeg,no,day,False,,good,no,side,,acquired_20260908/img/1/baf447b5-cfea-4d73-ad33-bf27c9087c07.jpeg,846ed6bb22256f24dca9b3639a7410d4586463e7252b9874cff7ac05c588496b,204618
1270b238-3700-41f6-bef1-9dbf647179b3,Mapillary,3881748695254112,Sikonge,Tanzania,Africa,-5.3776945829139,33.332197919595,2019-10-24 18:00:19.628000+03:00,l2vi1ahoq11t2nvkcea73d,160,train,img/2/1270b238-3700-41f6-bef1-9dbf647179b3.jpeg,no,day,False,,good,yes,front/back,clear,acquired_20260908/img/2/1270b238-3700-41f6-bef1-9dbf647179b3.jpeg,5c9ad67f81e5e85fb1728a1fe48814c1e917dfdb110fc49ac78945c569e626ca,405148
252a54d5-43e0-4a9a-bf7e-54662dc5188d,Mapillary,309260107475170,Port Louis,Mauritius,Africa,-20.16088596583218,57.49169647693634,2018-09-05 19:31:07.146000+04:00,KaJemCHNQYu-BjtBga42tA,475,train,img/3/252a54d5-43e0-4a9a-bf7e-54662dc5188d.jpeg,yes,day,False,,good,no,,clear,acquired_20260908/img/3/252a54d5-43e0-4a9a-bf7e-54662dc5188d.jpeg,18240f32ff88e6e4de166ae7bbae99a2223005988f5f76d34565fdda26e44591,317202
266cd98b-b629-4415-b50b-a48ec6884d64,Mapillary,301526121589857,Sikonge,Tanzania,Africa,-5.3790579819457,33.337088560682,2019-10-24 17:52:28.591000+03:00,l2vi1ahoq11t2nvkcea73d,142,train,img/2/266cd98b-b629-4415-b50b-a48ec6884d64.jpeg,no,day,False,,good,yes,front/back,clear,acquired_20260908/img/2/266cd98b-b629-4415-b50b-a48ec6884d64.jpeg,cc6c0506f3fe10ab06b78efe69c33aa089318f86580c163e5be0cadb709ef384,515011
26ffa55f-3cd2-42ff-a93a-99545ff38bba,Mapillary,200290478586362,Sikonge,Tanzania,Africa,-5.3792928512963,33.337939910175,2019-10-24 17:52:14.575000+03:00,l2vi1ahoq11t2nvkcea73d,139,train,img/1/26ffa55f-3cd2-42ff-a93a-99545ff38bba.jpeg,no,day,False,,good,yes,front/back,clear,acquired_20260908/img/1/26ffa55f-3cd2-42ff-a93a-99545ff38bba.jpeg,f396ccc5041e7f3503a5fc1d88f625a437b43a9b672623fbf1d2832c0fa09959,445312
573196c1-f08f-4987-b227-e1f1cf0aeb16,Mapillary,199782135311340,Sikonge,Tanzania,Africa,-5.3783505626943,33.334609594819,2019-10-24 17:59:35.645000+03:00,l2vi1ahoq11t2nvkcea73d,152,train,img/1/573196c1-f08f-4987-b227-e1f1cf0aeb16.jpeg,no,day,False,,good,yes,front/back,clear,acquired_20260908/img/1/573196c1-f08f-4987-b227-e1f1cf0aeb16.jpeg,e9d5d2c75782ec1a653dc28ee01468bd48aa99d06dca8a24565c811b6cd7ebb4,379715
bc5ef16b-fce6-463d-baba-3594ed1fd55d,Mapillary,464523634828525,Vereeniging,South Africa,Africa,-26.67266126831697,27.937320470809937,2018-07-10 13:10:43+02:00,qNVqqxoSiIHiRIFRSdgQVw,211,train,img/2/bc5ef16b-fce6-463d-baba-3594ed1fd55d.jpeg,no,day,False,driving surface,good,,front/back,,acquired_20260908/img/2/bc5ef16b-fce6-463d-baba-3594ed1fd55d.jpeg,b4d7844a4c54aa3cedd16e8e47e388b0b0b20fedfbce779db5efccd83a6815f8,143617
0216385b-4931-4e12-b4d7-83c046fb7dc8,Mapillary,806838640017163,Pemba,Mozambique,Africa,-13.03303733742,40.552583532746,2021-07-21 12:21:23.643000+02:00,Ae8zZ4VwWhSOirLqTuRNax,59,test,img/2/0216385b-4931-4e12-b4d7-83c046fb7dc8.jpeg,no,day,False,driving surface,good,no,front/back,clear,acquired_20260908/img/2/0216385b-4931-4e12-b4d7-83c046fb7dc8.jpeg,be4ddb61dd73140b6792fcf8fc8e3da9e081423ca11a6f93fd0eb0f09f43139d,390562
109b8b6d-b9d5-4d00-948f-702d7d2fa241,Mapillary,464160584695265,Goma,Congo (Kinshasa),Africa,-1.6897880620791454,29.237467646598816,2017-01-20 08:37:31.660000+02:00,_isGGKu9_Rk6CFv5xvETuA,339,test,img/2/109b8b6d-b9d5-4d00-948f-702d7d2fa241.jpeg,no,day,False,driving surface,slightly poor,no,front/back,clear,acquired_20260908/img/2/109b8b6d-b9d5-4d00-948f-702d7d2fa241.jpeg,b1d48901dbde4a51273612e2c5503dbf20e3be61303a8a9371d561568afdacdf,257737
10e4132d-c7e1-4873-ac07-47874378ba61,Mapillary,1809327772562288,Dodoma,Tanzania,Africa,-6.163638273615561,35.747923851013184,2018-09-20 06:06:57.408000+03:00,Wm0GOcB-RBq75mO97TogtQ,65,test,img/1/10e4132d-c7e1-4873-ac07-47874378ba61.jpeg,no,day,False,driving surface,very poor,no,side,clear,acquired_20260908/img/1/10e4132d-c7e1-4873-ac07-47874378ba61.jpeg,76c29703d46e5ffb127ac1514e5ccf7d9660101412c00b159b72712b2f30df8f,403376
